file,line,type,snippet
"apps\api\src\router\achievements.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\achievements.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\achievements.ts",6,MARKER,"// Minimal placeholder router for ""achievements"" (replace with real tRPC wiring later)."
"apps\api\src\router\achievements.ts",7,CAST_ANY,"export const achievementsRouter = {} as any;"
"apps\api\src\router\activity.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\activity.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\activity.ts",6,MARKER,"// Minimal placeholder router for ""activity"" (replace with real tRPC wiring later)."
"apps\api\src\router\activity.ts",7,CAST_ANY,"export const activityRouter = {} as any;"
"apps\api\src\router\applications.ts",19,CAST_ANY,"const created = await (ctx as any).prisma?.application?.create?.({ data: input });"
"apps\api\src\router\applications.ts",33,CAST_ANY,"const rows = await (ctx as any).prisma?.application?.findMany?.({"
"apps\api\src\router\auth.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\auth.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\auth.ts",6,MARKER,"// Minimal placeholder router for ""auth"" (replace with real tRPC wiring later)."
"apps\api\src\router\auth.ts",7,CAST_ANY,"export const authRouter = {} as any;"
"apps\api\src\router\calendar.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\calendar.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\calendar.ts",6,MARKER,"// Minimal placeholder router for ""calendar"" (replace with real tRPC wiring later)."
"apps\api\src\router\calendar.ts",7,CAST_ANY,"export const calendarRouter = {} as any;"
"apps\api\src\router\dashboard.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\dashboard.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\dashboard.ts",6,MARKER,"// Minimal placeholder router for ""dashboard"" (replace with real tRPC wiring later)."
"apps\api\src\router\dashboard.ts",7,CAST_ANY,"export const dashboardRouter = {} as any;"
"apps\api\src\router\goals.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\goals.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\goals.ts",6,MARKER,"// Minimal placeholder router for ""goals"" (replace with real tRPC wiring later)."
"apps\api\src\router\goals.ts",7,CAST_ANY,"export const goalsRouter = {} as any;"
"apps\api\src\router\insights.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\insights.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\insights.ts",6,MARKER,"// Minimal placeholder router for ""insights"" (replace with real tRPC wiring later)."
"apps\api\src\router\insights.ts",7,CAST_ANY,"export const insightsRouter = {} as any;"
"apps\api\src\router\interviews.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\interviews.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
